county_orig	count		county_clean	state	count		state	match	fipscode	error	err2	
JACKSON(IL)	76		JACKSON	IL	76		IL	JACKSON-IL	17077	FALSE	0	
HAMPDEN(MA)	75		HAMPDEN	MA	75		MA	HAMPDEN-MA	25013	FALSE	0	
DE SOTO(MS)	74		DE SOTO	MS	74		MS	DE SOTO-MS	#N/A	TRUE	1	
TIPPECANOE(IN)	74		TIPPECANOE	IN	74		IN	TIPPECANOE-IN	18157	FALSE	0	
DEKALB(GA)	73		DEKALB	GA	73		GA	DEKALB-GA	#N/A	TRUE	1	
HAMILTON(OH)	72		HAMILTON	OH	72		OH	HAMILTON-OH	39061	FALSE	0	
LINN(IA)	71		LINN	IA	71		IA	LINN-IA	19113	FALSE	0	
MACON(IL)	71		MACON	IL	71		IL	MACON-IL	17115	FALSE	0	
MCCRACKEN(KY)	70		MCCRACKEN	KY	70		KY	MCCRACKEN-KY	21145	FALSE	0	
WALWORTH(WI)	70		WALWORTH	WI	70		WI	WALWORTH-WI	55127	FALSE	0	
DUVAL(FL)	69		DUVAL	FL	69		FL	DUVAL-FL	12031	FALSE	0	
MARSHALL(MS)	69		MARSHALL	MS	69		MS	MARSHALL-MS	28093	FALSE	0	
MCLEAN(IL)	69		MCLEAN	IL	69		IL	MCLEAN-IL	17113	FALSE	0	
MONTGOMERY(OH)	69		MONTGOMERY	OH	69		OH	MONTGOMERY-OH	39113	FALSE	0	
TALLAHATCHIE(MS)	69		TALLAHATCHIE	MS	69		MS	TALLAHATCHIE-MS	28135	FALSE	0	
BROWN(WI)	68		BROWN	WI	68		WI	BROWN-WI	55009	FALSE	0	
JASPER(IN)	68		JASPER	IN	68		IN	JASPER-IN	18073	FALSE	0	
LINCOLN(MS)	68		LINCOLN	MS	68		MS	LINCOLN-MS	28085	FALSE	0	
CADDO(LA)	66		CADDO	LA	66		LA	CADDO-LA	22017	FALSE	0	
FAYETTE(KY)	66		FAYETTE	KY	66		KY	FAYETTE-KY	21067	FALSE	0	
RANKIN(MS)	66		RANKIN	MS	66		MS	RANKIN-MS	28121	FALSE	0	
EAST BATON ROUGE(LA)	65		EAST BATON ROUGE	LA	65		LA	EAST BATON ROUGE-LA	22033	FALSE	0	
FULTON(GA)	65		FULTON	GA	65		GA	FULTON-GA	13121	FALSE	0	
BEXAR(TX)	64		BEXAR	TX	64		TX	BEXAR-TX	48029	FALSE	0	
CLARK(NV)	64		CLARK	NV	64		NV	CLARK-NV	32003	FALSE	0	
KNOX(TN)	64		KNOX	TN	64		TN	KNOX-TN	47093	FALSE	0	
JEFFERSON(LA)	63		JEFFERSON	LA	63		LA	JEFFERSON-LA	22051	FALSE	0	
KALAMAZOO(MI)	63		KALAMAZOO	MI	63		MI	KALAMAZOO-MI	26077	FALSE	0	
MISSISSIPPI(AR)	63		MISSISSIPPI	AR	63		AR	MISSISSIPPI-AR	05093	FALSE	0	
ROCK ISLAND(IL)	63		ROCK ISLAND	IL	63		IL	ROCK ISLAND-IL	17161	FALSE	0	
TARRANT(TX)	63		TARRANT	TX	63		TX	TARRANT-TX	48439	FALSE	0	
HAMILTON(TN)	62		HAMILTON	TN	62		TN	HAMILTON-TN	47065	FALSE	0	
WAYNE(MI)	62		WAYNE	MI	62		MI	WAYNE-MI	26163	FALSE	0	
BELL(TX)	61		BELL	TX	61		TX	BELL-TX	48027	FALSE	0	
WABASH(IN)	61		WABASH	IN	61		IN	WABASH-IN	18169	FALSE	0	
ALCORN(MS)	60		ALCORN	MS	60		MS	ALCORN-MS	28003	FALSE	0	
HOLMES(MS)	60		HOLMES	MS	60		MS	HOLMES-MS	28051	FALSE	0	
BROWARD(FL)	59		BROWARD	FL	59		FL	BROWARD-FL	12011	FALSE	0	
HILLSBOROUGH(FL)	59		HILLSBOROUGH	FL	59		FL	HILLSBOROUGH-FL	12057	FALSE	0	
OKLAHOMA(OK)	58		OKLAHOMA	OK	58		OK	OKLAHOMA-OK	40109	FALSE	0	
SAN DIEGO(CA)	58		SAN DIEGO	CA	58		CA	SAN DIEGO-CA	06073	FALSE	0	
WILLIAMSON(IL)	57		WILLIAMSON	IL	57		IL	WILLIAMSON-IL	17199	FALSE	0	
CRITTENDEN(AR)	55		CRITTENDEN	AR	55		AR	CRITTENDEN-AR	05035	FALSE	0	
LA SALLE(IL)	55		LA SALLE	IL	55		IL	LA SALLE-IL	17099	FALSE	0	
MONROE(MS)	55		MONROE	MS	55		MS	MONROE-MS	28095	FALSE	0	
TUNICA(MS)	55		TUNICA	MS	55		MS	TUNICA-MS	28143	FALSE	0	
VANDERBURGH(IN)	55		VANDERBURGH	IN	55		IN	VANDERBURGH-IN	18163	FALSE	0	
HARRISON(MS)	54		HARRISON	MS	54		MS	HARRISON-MS	28047	FALSE	0	
DELAWARE(IN)	53		DELAWARE	IN	53		IN	DELAWARE-IN	18035	FALSE	0	
POLK(IA)	53		POLK	IA	53		IA	POLK-IA	19153	FALSE	0	
SAN BERNARDINO(CA)	53		SAN BERNARDINO	CA	53		CA	SAN BERNARDINO-CA	06071	FALSE	0	
WHITFIELD(GA)	52		WHITFIELD	GA	52		GA	WHITFIELD-GA	13313	FALSE	0	
DE KALB(IN)	51		DE KALB	IN	51		IN	DE KALB-IN	18033	FALSE	0	
SAINT LOUIS(MO)	51		SAINT LOUIS	MO	51		MO	SAINT LOUIS-MO	29189	FALSE	0	
ADAMS(MS)	50		ADAMS	MS	50		MS	ADAMS-MS	28001	FALSE	0	
CUMBERLAND(NC)	49		CUMBERLAND	NC	49		NC	CUMBERLAND-NC	37051	FALSE	0	
HAMILTON(IN)	49		HAMILTON	IN	49		IN	HAMILTON-IN	18057	FALSE	0	
PIMA(AZ)	49		PIMA	AZ	49		AZ	PIMA-AZ	04019	FALSE	0	
SAINT CLAIR(IL)	49		SAINT CLAIR	IL	49		IL	SAINT CLAIR-IL	17163	FALSE	0	
KOSCIUSKO(IN)	48		KOSCIUSKO	IN	48		IN	KOSCIUSKO-IN	18085	FALSE	0	
MOBILE(AL)	48		MOBILE	AL	48		AL	MOBILE-AL	01097	FALSE	0	
